,real,simple_exponential_smoothing,holt,holt_winters_aditiv,holt_winters_multiplicativ
2024-01-01,5.5,5.9507589434242405,5.919499186427643,5.908137257782613,5.948922244599157
2024-02-01,5.2,5.9507589434242405,5.896951526529814,5.875737104795069,5.910296658580882
2024-03-01,5.1,5.9507589434242405,5.874403866631984,5.943274091201472,5.983369493138732
2024-04-01,5.0,5.9507589434242405,5.851856206734155,5.667887569901707,5.76544256453621
2024-05-01,5.1,5.9507589434242405,5.829308546836325,5.421007006216178,5.556393851323571
2024-06-01,4.9,5.9507589434242405,5.806760886938496,5.45261519405056,5.626583600998882
2024-07-01,5.7,5.9507589434242405,5.784213227040666,5.4555900811823035,5.607062078658086
2024-08-01,5.5,5.9507589434242405,5.7616655671428365,5.458499629908921,5.642130012943928
2024-09-01,5.6,5.9507589434242405,5.7391179072450065,5.418474364176975,5.611782865547116
2024-10-01,5.8,5.9507589434242405,5.716570247347177,5.49981112669526,5.682401117079834
2024-11-01,5.7,5.9507589434242405,5.694022587449347,5.695359703313244,5.858744494212366
2024-12-01,6.1,5.9507589434242405,5.671474927551518,5.826572749756013,5.972630803580707
2025-01-01,6.2,5.9507589434242405,5.648927267653688,5.757150610689438,5.948922244599157
2025-02-01,6.2,5.9507589434242405,5.626379607755859,5.7257028059629,5.910296658580882
2025-03-01,6.3,5.9507589434242405,5.603831947858029,5.794186133693751,5.983369493138732
2025-04-01,6.0,5.9507589434242405,5.5812842879602,5.519739984670627,5.76544256453621
2025-05-01,5.9,5.9507589434242405,5.55873662806237,5.273793861863702,5.556393851323571
2025-06-01,6.0,5.9507589434242405,5.536188968164541,5.306330596590942,5.626583600998882
2025-07-01,5.9,5.9507589434242405,5.513641308266711,5.310228173806111,5.607062078658086
2025-08-01,6.0,5.9507589434242405,5.4910936483688815,5.314054592748549,5.642130012943928
2025-09-01,6.0,5.9507589434242405,5.4685459884710514,5.2749404140736305,5.611782865547116
2025-10-01,6.2,5.9507589434242405,5.445998328573222,5.357182516967425,5.682401117079834
2025-11-01,6.4,5.9507589434242405,5.423450668675392,5.553630723526593,5.858744494212366
2025-12-01,6.3,5.9507589434242405,5.400903008777563,5.685737725494786,5.972630803580707
